# DIGITIZED FROM A PUBLISHED FIGURE - not a raw laboratory record.
# Webster JR, Moenter SM, Barrell GK, Lehman MN, Karsch FJ.
# Endocrinology 1991;129(3):1635-43. PMID 1874193. Fig 3A, ewe #8058
# (thyroid-intact control). GnRH in pg/min, sampled every 5 min for 6 h.
# Values read off the printed trace by tools/digitize_webster1991.py and
# are therefore approximate; they carry the figure's line width and the
# scan's resolution as error. The article is not redistributed - only
# these numbers, which are measurements. See data/digitized/README.md.
# Pulses identified in the paper: 0 (see webster1991_pulses.csv).
#
# COLUMN 3 (error) IS RECONSTRUCTED, NOT DIGITIZED. The figure prints no
# error bars, and the paper does not report what per-sample error it gave
# CLUSTER. This column is max(0.06, 0.08 x value) — an assay-shaped
# error: a proportional term plus a floor at the detection limit. For LH
# that floor is the assay sensitivity the paper reports; for GnRH it was
# chosen to match the paper's own pulse calls, and is therefore fitted.
# It is supplied so the published settings are reproducible in the app,
# which needs a per-sample error the estimated models cannot stand in for.
#
# ⚠ THIS RECORD IS AT THE FIGURE'S RESOLUTION LIMIT. Its entire data range
# is comparable to the printed line's own thickness, so the trace carries no
# information about where within that line the value falls. Every sample is
# therefore the midpoint of the ink run, not a reading of one of its edges.
# Treat the LEVEL as measured and the sample-to-sample VARIATION as absent:
# it is a flat trace, and any pulse analysis run on it is analyzing line
# width. Until 2026-08-15 this file instead alternated between the two edges
# of the line, which produced a regular sawtooth that looked like data.
time,value,error
0,0.091,0.0600
5,0.104,0.0600
10,0.114,0.0600
15,0.180,0.0600
20,0.114,0.0600
25,0.079,0.0600
30,0.123,0.0600
35,0.145,0.0600
40,0.101,0.0600
45,0.091,0.0600
50,0.098,0.0600
55,0.123,0.0600
60,0.120,0.0600
65,0.110,0.0600
70,0.060,0.0600
75,0.066,0.0600
80,0.129,0.0600
85,0.079,0.0600
90,0.098,0.0600
95,0.069,0.0600
100,0.110,0.0600
105,0.098,0.0600
110,0.110,0.0600
115,0.117,0.0600
120,0.120,0.0600
125,0.117,0.0600
130,0.155,0.0600
135,0.095,0.0600
140,0.073,0.0600
145,0.085,0.0600
150,0.085,0.0600
155,0.057,0.0600
160,0.069,0.0600
165,0.126,0.0600
170,0.101,0.0600
175,0.063,0.0600
180,0.082,0.0600
185,0.073,0.0600
190,0.098,0.0600
195,0.057,0.0600
200,0.085,0.0600
205,0.098,0.0600
210,0.082,0.0600
215,0.085,0.0600
220,0.085,0.0600
225,0.095,0.0600
230,0.107,0.0600
235,0.117,0.0600
240,0.069,0.0600
245,0.139,0.0600
250,0.139,0.0600
255,0.139,0.0600
260,0.098,0.0600
265,0.104,0.0600
270,0.104,0.0600
275,0.095,0.0600
280,0.104,0.0600
285,0.117,0.0600
290,0.047,0.0600
295,0.054,0.0600
300,0.073,0.0600
305,0.186,0.0600
310,0.161,0.0600
315,0.139,0.0600
320,0.199,0.0600
325,0.148,0.0600
330,0.104,0.0600
335,0.126,0.0600
340,0.117,0.0600
345,0.107,0.0600
350,0.110,0.0600
355,0.095,0.0600
360,0.082,0.0600
