# DIGITIZED FROM A PUBLISHED FIGURE - not a raw laboratory record.
# Webster JR, Moenter SM, Barrell GK, Lehman MN, Karsch FJ.
# Endocrinology 1991;129(3):1635-43. PMID 1874193. Fig 3A, ewe #8058
# (thyroid-intact control). LH in ng/ml, sampled every 6 min for 6 h.
#
# SOURCE: the University of Michigan library's scan of the bound PRINT
# volume (Endocrinology v.129 1991 Sep), supplied by Document Delivery and
# obtained outside the publisher's electronic subscription. Read by
# tools/digitize_webster_print.py. This replaced a reading of the
# publisher's PDF on 2026-08-19; see docs/figure-data-permissions.md for
# why the source of the copy is the whole point.
#
# Values are approximate: they carry the figure's printed line width and
# the scan's resolution as error. The article is not redistributed - only
# these numbers, which are measurements. See data/digitized/README.md.
# Pulses identified in the paper: 0 (see webster1991_pulses.csv).
#
# COLUMN 3 (error) IS RECONSTRUCTED, NOT DIGITIZED. The figure prints no
# error bars, and the paper does not report what per-sample error it gave
# CLUSTER. This column is max(0.45, 0.08 x value) — an assay-shaped
# error: a proportional term plus a floor at the detection limit. For LH
# that floor is the assay sensitivity the paper reports; for GnRH it was
# chosen to match the paper's own pulse calls, and is therefore fitted.
# It is supplied so the published settings are reproducible in the app,
# which needs a per-sample error the estimated models cannot stand in for.
#
# ⚠ THIS RECORD IS AT THE FIGURE'S RESOLUTION LIMIT. Its entire data range
# is comparable to the printed line's own thickness, so the trace carries no
# information about where within that line the value falls. Every sample is
# therefore the midpoint of the ink run, not a reading of one of its edges.
# Treat the LEVEL as measured and the sample-to-sample VARIATION as absent:
# it is a flat trace, and any pulse analysis run on it is analyzing line
# width. Until 2026-08-15 this file instead alternated between the two edges
# of the line, which produced a regular sawtooth that looked like data.
time,value,error
0,0.349,0.4500
6,0.349,0.4500
12,0.330,0.4500
18,0.330,0.4500
24,0.349,0.4500
30,0.330,0.4500
36,0.367,0.4500
42,0.349,0.4500
48,0.330,0.4500
54,0.349,0.4500
60,0.349,0.4500
66,0.330,0.4500
72,0.349,0.4500
78,0.349,0.4500
84,0.330,0.4500
90,0.349,0.4500
96,0.330,0.4500
102,0.330,0.4500
108,0.349,0.4500
114,0.367,0.4500
120,0.330,0.4500
126,0.349,0.4500
132,0.349,0.4500
138,0.312,0.4500
144,0.349,0.4500
150,0.330,0.4500
156,0.330,0.4500
162,0.349,0.4500
168,0.349,0.4500
174,0.330,0.4500
180,0.330,0.4500
186,0.349,0.4500
192,0.312,0.4500
198,0.330,0.4500
204,0.349,0.4500
210,0.330,0.4500
216,0.349,0.4500
222,0.349,0.4500
228,0.330,0.4500
234,0.330,0.4500
240,0.367,0.4500
246,0.349,0.4500
252,0.367,0.4500
258,0.367,0.4500
264,0.349,0.4500
270,0.385,0.4500
276,0.367,0.4500
282,0.367,0.4500
288,0.367,0.4500
294,0.385,0.4500
300,0.349,0.4500
306,0.404,0.4500
312,0.404,0.4500
318,0.367,0.4500
324,0.385,0.4500
330,0.385,0.4500
336,0.385,0.4500
342,0.404,0.4500
348,0.404,0.4500
354,0.385,0.4500
360,0.385,0.4500
