# DIGITIZED FROM A PUBLISHED FIGURE - not a raw laboratory record.
# Webster JR, Moenter SM, Barrell GK, Lehman MN, Karsch FJ.
# Endocrinology 1991;129(3):1635-43. PMID 1874193. Fig 3B, ewe #8067
# (thyroidectomized). GnRH in pg/min, sampled every 5 min for 6 h.
#
# SOURCE: the University of Michigan library's scan of the bound PRINT
# volume (Endocrinology v.129 1991 Sep), supplied by Document Delivery and
# obtained outside the publisher's electronic subscription. Read by
# tools/digitize_webster_print.py. This replaced a reading of the
# publisher's PDF on 2026-08-19; see docs/figure-data-permissions.md for
# why the source of the copy is the whole point.
#
# Values are approximate: they carry the figure's printed line width and
# the scan's resolution as error. The article is not redistributed - only
# these numbers, which are measurements. See data/digitized/README.md.
# Pulses identified in the paper: 11 (see webster1991_pulses.csv).
#
# COLUMN 3 (error) IS RECONSTRUCTED, NOT DIGITIZED. The figure prints no
# error bars, and the paper does not report what per-sample error it gave
# CLUSTER. This column is max(0.07, 0.08 x value) — an assay-shaped
# error: a proportional term plus a floor at the detection limit. For LH
# that floor is the assay sensitivity the paper reports; for GnRH it was
# chosen to match the paper's own pulse calls, and is therefore fitted.
# It is supplied so the published settings are reproducible in the app,
# which needs a per-sample error the estimated models cannot stand in for.
time,value,error
0,0.024,0.0700
5,0.024,0.0700
10,0.066,0.0700
15,0.024,0.0700
20,0.024,0.0700
25,1.183,0.0947
30,0.809,0.0700
35,0.024,0.0700
40,0.071,0.0700
45,0.024,0.0700
50,0.776,0.0700
55,0.593,0.0700
60,0.024,0.0700
65,0.075,0.0700
70,0.024,0.0700
75,0.094,0.0700
80,0.122,0.0700
85,0.024,0.0700
90,0.560,0.0700
95,0.419,0.0700
100,0.024,0.0700
105,0.080,0.0700
110,0.024,0.0700
115,0.592,0.0700
120,0.409,0.0700
125,0.475,0.0700
130,0.033,0.0700
135,0.075,0.0700
140,0.024,0.0700
145,0.113,0.0700
150,0.122,0.0700
155,0.024,0.0700
160,0.551,0.0700
165,0.061,0.0700
170,0.113,0.0700
175,0.753,0.0700
180,0.579,0.0700
185,0.038,0.0700
190,0.024,0.0700
195,0.697,0.0700
200,0.607,0.0700
205,0.042,0.0700
210,0.099,0.0700
215,0.024,0.0700
220,0.089,0.0700
225,1.523,0.1219
230,0.094,0.0700
235,0.155,0.0700
240,0.024,0.0700
245,0.080,0.0700
250,0.024,0.0700
255,0.085,0.0700
260,0.024,0.0700
265,0.099,0.0700
270,0.024,0.0700
275,0.094,0.0700
280,0.024,0.0700
285,0.994,0.0795
290,0.560,0.0700
295,0.042,0.0700
300,0.103,0.0700
305,0.094,0.0700
310,0.024,0.0700
315,0.941,0.0753
320,0.024,0.0700
325,0.094,0.0700
330,0.024,0.0700
335,0.094,0.0700
340,0.024,0.0700
345,0.614,0.0700
350,0.024,0.0700
355,0.226,0.0700
360,0.226,0.0700
