# DIGITIZED FROM A PUBLISHED FIGURE - not a raw laboratory record.
# Webster JR, Moenter SM, Barrell GK, Lehman MN, Karsch FJ.
# Endocrinology 1991;129(3):1635-43. PMID 1874193. Fig 3B, ewe #8067
# (thyroidectomized). LH in ng/ml, sampled every 6 min for 6 h.
# Values read off the printed trace by tools/digitize_webster1991.py and
# are therefore approximate; they carry the figure's line width and the
# scan's resolution as error. Used with an author's permission.
# Pulses identified in the paper: 11 (see webster1991_pulses.csv).
#
# COLUMN 3 (error) IS RECONSTRUCTED, NOT DIGITIZED. The figure prints no
# error bars, and the paper does not report what per-sample error it gave
# CLUSTER. This column is max(0.45, 0.08 x value) — an assay-shaped
# error: a proportional term plus a floor at the detection limit. For LH
# that floor is the assay sensitivity the paper reports; for GnRH it was
# chosen to match the paper's own pulse calls, and is therefore fitted.
# It is supplied so the published settings are reproducible in the app,
# which needs a per-sample error the estimated models cannot stand in for.
time,value,error
0,4.673,0.4500
6,3.768,0.4500
12,4.472,0.4500
18,3.517,0.4500
24,22.749,1.8199
30,5.577,0.4500
36,5.828,0.4662
42,5.326,0.4500
48,5.125,0.4500
54,3.617,0.4500
60,4.371,0.4500
66,3.718,0.4500
72,16.781,1.3424
78,8.390,0.6712
84,6.833,0.5466
90,8.441,0.6753
96,11.688,0.9350
102,7.637,0.6109
108,7.687,0.6150
114,6.632,0.5306
120,8.993,0.7195
126,21.416,1.7133
132,8.340,0.6672
138,6.783,0.5426
144,21.174,1.6939
150,10.099,0.8079
156,9.797,0.7838
162,7.788,0.6230
168,7.737,0.6190
174,6.632,0.5306
180,23.874,1.9099
186,13.666,1.0933
192,9.998,0.7999
198,7.788,0.6230
204,19.425,1.5540
210,9.948,0.7958
216,8.189,0.6552
222,8.591,0.6873
228,7.034,0.5627
234,17.414,1.3931
240,9.596,0.7677
246,8.642,0.6913
252,6.531,0.5225
258,6.130,0.4904
264,5.878,0.4703
270,11.627,0.9302
276,9.094,0.7275
282,8.591,0.6873
288,6.331,0.5064
294,12.162,0.9730
300,8.491,0.6793
306,7.838,0.6270
312,7.536,0.6029
318,5.778,0.4622
324,6.933,0.5547
330,10.557,0.8446
336,8.039,0.6431
342,7.235,0.5788
348,6.632,0.5306
354,5.275,0.4500
360,7.335,0.5868
