# DIGITIZED FROM A PUBLISHED FIGURE - not a raw laboratory record.
# Webster JR, Moenter SM, Barrell GK, Lehman MN, Karsch FJ.
# Endocrinology 1991;129(3):1635-43. PMID 1874193. Fig 4A, ewe #9013
# (thyroidectomized). LH in ng/ml, sampled every 6 min for 6 h.
#
# SOURCE: the University of Michigan library's scan of the bound PRINT
# volume (Endocrinology v.129 1991 Sep), supplied by Document Delivery and
# obtained outside the publisher's electronic subscription. Read by
# tools/digitize_webster_print.py. This replaced a reading of the
# publisher's PDF on 2026-08-19; see docs/figure-data-permissions.md for
# why the source of the copy is the whole point.
#
# Values are approximate: they carry the figure's printed line width and
# the scan's resolution as error. The article is not redistributed - only
# these numbers, which are measurements. See data/digitized/README.md.
# Pulses identified in the paper: 16 (see webster1991_pulses.csv).
#
# COLUMN 3 (error) IS RECONSTRUCTED, NOT DIGITIZED. The figure prints no
# error bars, and the paper does not report what per-sample error it gave
# CLUSTER. This column is max(0.45, 0.08 x value) — an assay-shaped
# error: a proportional term plus a floor at the detection limit. For LH
# that floor is the assay sensitivity the paper reports; for GnRH it was
# chosen to match the paper's own pulse calls, and is therefore fitted.
# It is supplied so the published settings are reproducible in the app,
# which needs a per-sample error the estimated models cannot stand in for.
time,value,error
0,8.202,0.6562
6,8.202,0.6562
12,12.965,1.0372
18,9.660,0.7728
24,6.853,0.5483
30,7.072,0.5657
36,10.145,0.8116
42,9.441,0.7553
48,8.311,0.6649
54,13.136,1.0508
60,8.749,0.6999
66,6.890,0.5512
72,9.074,0.7260
78,8.603,0.6882
84,8.712,0.6970
90,6.780,0.5424
96,10.997,0.8798
102,10.207,0.8165
108,8.129,0.6503
114,5.905,0.4724
120,8.823,0.7058
126,8.093,0.6474
132,5.650,0.4520
138,15.926,1.2741
144,11.847,0.9478
150,7.728,0.6182
156,16.819,1.3455
162,15.492,1.2394
168,7.983,0.6387
174,11.373,0.9099
180,15.224,1.2179
186,8.275,0.6620
192,15.001,1.2000
198,11.592,0.9274
204,9.077,0.7261
210,7.363,0.5891
216,6.890,0.5512
222,10.035,0.8028
228,8.238,0.6591
234,8.238,0.6591
240,9.004,0.7203
246,7.947,0.6357
252,7.692,0.6153
258,9.979,0.7983
264,8.749,0.6999
270,9.077,0.7261
276,8.421,0.6736
282,6.088,0.4870
288,10.324,0.8259
294,8.566,0.6853
300,5.140,0.4500
306,11.976,0.9581
312,7.874,0.6299
318,9.368,0.7495
324,7.327,0.5862
330,13.197,1.0557
336,10.790,0.8632
342,8.384,0.6707
348,13.633,1.0907
354,14.921,1.1937
360,14.921,1.1937
