# DIGITIZED FROM A PUBLISHED FIGURE - not a raw laboratory record.
# Webster JR, Moenter SM, Barrell GK, Lehman MN, Karsch FJ.
# Endocrinology 1991;129(3):1635-43. PMID 1874193. Fig 4B, ewe #9009
# (thyroidectomized). GnRH in pg/min, sampled every 5 min for 6 h.
# Values read off the printed trace by tools/digitize_webster1991.py and
# are therefore approximate; they carry the figure's line width and the
# scan's resolution as error. The article is not redistributed - only
# these numbers, which are measurements. See data/digitized/README.md.
# Pulses identified in the paper: 0 (see webster1991_pulses.csv).
#
# COLUMN 3 (error) IS RECONSTRUCTED, NOT DIGITIZED. The figure prints no
# error bars, and the paper does not report what per-sample error it gave
# CLUSTER. This column is max(0.06, 0.08 x value) — an assay-shaped
# error: a proportional term plus a floor at the detection limit. For LH
# that floor is the assay sensitivity the paper reports; for GnRH it was
# chosen to match the paper's own pulse calls, and is therefore fitted.
# It is supplied so the published settings are reproducible in the app,
# which needs a per-sample error the estimated models cannot stand in for.
#
# ⚠ THIS RECORD IS AT THE FIGURE'S RESOLUTION LIMIT. Its entire data range
# is comparable to the printed line's own thickness, so the trace carries no
# information about where within that line the value falls. Every sample is
# therefore the midpoint of the ink run, not a reading of one of its edges.
# Treat the LEVEL as measured and the sample-to-sample VARIATION as absent:
# it is a flat trace, and any pulse analysis run on it is analyzing line
# width. Until 2026-08-15 this file instead alternated between the two edges
# of the line, which produced a regular sawtooth that looked like data.
time,value,error
0,0.096,0.0600
5,0.065,0.0600
10,0.065,0.0600
15,0.065,0.0600
20,0.089,0.0600
25,0.065,0.0600
30,0.068,0.0600
35,0.065,0.0600
40,0.065,0.0600
45,0.068,0.0600
50,0.136,0.0600
55,0.102,0.0600
60,0.077,0.0600
65,0.068,0.0600
70,0.068,0.0600
75,0.083,0.0600
80,0.068,0.0600
85,0.068,0.0600
90,0.071,0.0600
95,0.068,0.0600
100,0.071,0.0600
105,0.071,0.0600
110,0.071,0.0600
115,0.071,0.0600
120,0.083,0.0600
125,0.080,0.0600
130,0.071,0.0600
135,0.139,0.0600
140,0.139,0.0600
145,0.083,0.0600
150,0.139,0.0600
155,0.129,0.0600
160,0.096,0.0600
165,0.071,0.0600
170,0.071,0.0600
175,0.071,0.0600
180,0.074,0.0600
185,0.089,0.0600
190,0.071,0.0600
195,0.099,0.0600
200,0.086,0.0600
205,0.089,0.0600
210,0.071,0.0600
215,0.126,0.0600
220,0.077,0.0600
225,0.231,0.0600
230,0.089,0.0600
235,0.136,0.0600
240,0.157,0.0600
245,0.099,0.0600
250,0.151,0.0600
255,0.123,0.0600
260,0.083,0.0600
265,0.154,0.0600
270,0.092,0.0600
275,0.071,0.0600
280,0.071,0.0600
285,0.071,0.0600
290,0.071,0.0600
295,0.071,0.0600
300,0.071,0.0600
305,0.089,0.0600
310,0.077,0.0600
315,0.089,0.0600
320,0.071,0.0600
325,0.071,0.0600
330,0.111,0.0600
335,0.102,0.0600
340,0.071,0.0600
345,0.071,0.0600
350,0.120,0.0600
355,0.111,0.0600
360,0.096,0.0600
