# DIGITIZED FROM A PUBLISHED FIGURE - not a raw laboratory record.
# Webster JR, Moenter SM, Barrell GK, Lehman MN, Karsch FJ.
# Endocrinology 1991;129(3):1635-43. PMID 1874193. Fig 4B, ewe #9009
# (thyroidectomized). LH in ng/ml, sampled every 6 min for 6 h.
#
# SOURCE: the University of Michigan library's scan of the bound PRINT
# volume (Endocrinology v.129 1991 Sep), supplied by Document Delivery and
# obtained outside the publisher's electronic subscription. Read by
# tools/digitize_webster_print.py. This replaced a reading of the
# publisher's PDF on 2026-08-19; see docs/figure-data-permissions.md for
# why the source of the copy is the whole point.
#
# Values are approximate: they carry the figure's printed line width and
# the scan's resolution as error. The article is not redistributed - only
# these numbers, which are measurements. See data/digitized/README.md.
# Pulses identified in the paper: 11 (see webster1991_pulses.csv).
#
# COLUMN 3 (error) IS RECONSTRUCTED, NOT DIGITIZED. The figure prints no
# error bars, and the paper does not report what per-sample error it gave
# CLUSTER. This column is max(0.45, 0.08 x value) — an assay-shaped
# error: a proportional term plus a floor at the detection limit. For LH
# that floor is the assay sensitivity the paper reports; for GnRH it was
# chosen to match the paper's own pulse calls, and is therefore fitted.
# It is supplied so the published settings are reproducible in the app,
# which needs a per-sample error the estimated models cannot stand in for.
time,value,error
0,5.713,0.4571
6,5.713,0.4571
12,4.871,0.4500
18,4.395,0.4500
24,3.003,0.4500
30,3.516,0.4500
36,4.285,0.4500
42,4.065,0.4500
48,3.333,0.4500
54,5.188,0.4500
60,4.468,0.4500
66,3.553,0.4500
72,5.270,0.4500
78,3.882,0.4500
84,3.882,0.4500
90,5.470,0.4500
96,3.699,0.4500
102,3.333,0.4500
108,2.417,0.4500
114,3.333,0.4500
120,2.857,0.4500
126,1.868,0.4500
132,2.637,0.4500
138,2.271,0.4500
144,4.378,0.4500
150,3.662,0.4500
156,2.527,0.4500
162,5.653,0.4522
168,2.967,0.4500
174,3.296,0.4500
180,2.088,0.4500
186,5.883,0.4707
192,4.615,0.4500
198,5.127,0.4500
204,3.516,0.4500
210,2.307,0.4500
216,2.967,0.4500
222,1.831,0.4500
228,4.150,0.4500
234,2.710,0.4500
240,2.930,0.4500
246,2.197,0.4500
252,2.967,0.4500
258,5.476,0.4500
264,2.344,0.4500
270,3.113,0.4500
276,2.307,0.4500
282,7.098,0.5679
288,5.201,0.4500
294,3.992,0.4500
300,3.223,0.4500
306,3.040,0.4500
312,2.271,0.4500
318,6.059,0.4847
324,3.443,0.4500
330,3.772,0.4500
336,2.014,0.4500
342,3.296,0.4500
348,4.014,0.4500
354,2.527,0.4500
360,2.527,0.4500
