# Pulses marked with an open circle in the published figures.
# These are the authors' own CLUSTER calls, not ours.
# Read off the U-M library's print-volume scan by
# tools/digitize_webster_print.py -- see any series file for the provenance.
series,pulse_index,time_min,value
fig3b_thx_8067_gnrh,5,25,1.183
fig3b_thx_8067_gnrh,10,50,0.776
fig3b_thx_8067_gnrh,18,90,0.560
fig3b_thx_8067_gnrh,23,115,0.592
fig3b_thx_8067_gnrh,32,160,0.551
fig3b_thx_8067_gnrh,35,175,0.753
fig3b_thx_8067_gnrh,39,195,0.697
fig3b_thx_8067_gnrh,45,225,1.523
fig3b_thx_8067_gnrh,57,285,0.994
fig3b_thx_8067_gnrh,63,315,0.941
fig3b_thx_8067_gnrh,69,345,0.614
fig3b_thx_8067_lh,4,24,22.440
fig3b_thx_8067_lh,12,72,16.537
fig3b_thx_8067_lh,16,96,11.537
fig3b_thx_8067_lh,21,126,21.144
fig3b_thx_8067_lh,24,144,20.904
fig3b_thx_8067_lh,30,180,23.549
fig3b_thx_8067_lh,34,204,19.150
fig3b_thx_8067_lh,39,234,17.134
fig3b_thx_8067_lh,45,270,11.435
fig3b_thx_8067_lh,49,294,11.950
fig3b_thx_8067_lh,55,330,10.321
fig4a_thx_9013_gnrh,5,25,0.852
fig4a_thx_9013_gnrh,8,40,1.921
fig4a_thx_9013_gnrh,12,60,1.135
fig4a_thx_9013_gnrh,16,80,0.908
fig4a_thx_9013_gnrh,18,90,1.390
fig4a_thx_9013_gnrh,21,105,1.368
fig4a_thx_9013_gnrh,25,125,1.142
fig4a_thx_9013_gnrh,28,140,0.965
fig4a_thx_9013_gnrh,31,155,2.120
fig4a_thx_9013_gnrh,34,170,1.167
fig4a_thx_9013_gnrh,36,180,1.288
fig4a_thx_9013_gnrh,38,190,1.927
fig4a_thx_9013_gnrh,41,205,1.485
fig4a_thx_9013_gnrh,44,220,1.775
fig4a_thx_9013_gnrh,48,240,1.463
fig4a_thx_9013_gnrh,50,250,0.998
fig4a_thx_9013_gnrh,54,270,0.990
fig4a_thx_9013_gnrh,57,285,0.715
fig4a_thx_9013_gnrh,65,325,0.809
fig4a_thx_9013_gnrh,68,340,0.861
fig4a_thx_9013_gnrh,71,355,1.118
fig4a_thx_9013_lh,2,12,12.965
fig4a_thx_9013_lh,6,36,10.145
fig4a_thx_9013_lh,9,54,13.136
fig4a_thx_9013_lh,12,72,9.074
fig4a_thx_9013_lh,16,96,10.997
fig4a_thx_9013_lh,20,120,8.823
fig4a_thx_9013_lh,23,138,15.926
fig4a_thx_9013_lh,26,156,16.819
fig4a_thx_9013_lh,30,180,15.224
fig4a_thx_9013_lh,32,192,15.001
fig4a_thx_9013_lh,37,222,10.035
fig4a_thx_9013_lh,43,258,9.979
fig4a_thx_9013_lh,48,288,10.324
fig4a_thx_9013_lh,51,306,11.976
fig4a_thx_9013_lh,55,330,13.197
fig4a_thx_9013_lh,59,354,14.921
fig4b_thx_9009_lh,9,54,5.188
fig4b_thx_9009_lh,12,72,5.270
fig4b_thx_9009_lh,15,90,5.470
fig4b_thx_9009_lh,24,144,4.378
fig4b_thx_9009_lh,27,162,5.653
fig4b_thx_9009_lh,31,186,5.883
fig4b_thx_9009_lh,38,228,4.150
fig4b_thx_9009_lh,43,258,5.476
fig4b_thx_9009_lh,47,282,7.098
fig4b_thx_9009_lh,53,318,6.059
fig4b_thx_9009_lh,58,348,4.014
