# SIMULATED DATA - not real experimental measurements.
# Generated by tools/make_synthetic.py with a fixed seed. Matches no animal
# and no experiment; the scales are drawn from the literature cited in that
# script and in data/synthetic/README.md.
# Resembles a pulse-free negative control at the LH baseline (ng/ml).
# Sampling interval: 10 min.
time,value,error
10,4.127,0.289
20,3.812,0.267
30,3.930,0.275
40,3.777,0.264
50,4.112,0.288
60,3.613,0.253
70,4.658,0.326
80,4.263,0.298
90,4.157,0.291
100,3.762,0.263
110,3.563,0.249
120,3.901,0.273
130,3.988,0.279
140,3.463,0.242
150,4.637,0.325
160,3.870,0.271
170,4.000,0.280
180,4.056,0.284
190,3.963,0.277
200,4.190,0.293
210,4.040,0.283
220,3.521,0.246
230,4.547,0.318
240,3.920,0.274
250,4.146,0.290
260,3.150,0.221
270,3.986,0.279
280,3.726,0.261
290,4.149,0.290
300,3.501,0.245
310,3.920,0.274
320,4.195,0.294
330,4.043,0.283
340,4.100,0.287
350,3.883,0.272
360,3.045,0.213
370,4.123,0.289
380,3.652,0.256
390,4.239,0.297
400,3.846,0.269
410,3.975,0.278
420,4.025,0.282
430,4.201,0.294
440,4.370,0.306
450,3.357,0.235
460,4.359,0.305
470,4.564,0.319
480,4.037,0.283
490,4.151,0.291
500,3.638,0.255
510,3.708,0.260
520,3.727,0.261
530,4.254,0.298
540,4.117,0.288
550,4.323,0.303
560,3.920,0.274
570,4.232,0.296
580,4.198,0.294
590,4.366,0.306
600,4.208,0.295
610,3.582,0.251
620,4.666,0.327
630,4.324,0.303
640,3.852,0.270
650,4.209,0.295
660,4.254,0.298
670,4.026,0.282
680,3.862,0.270
690,3.980,0.279
700,4.274,0.299
710,4.061,0.284
720,3.834,0.268
