# SIMULATED DATA — not real experimental measurements.
# Generated by tools/make_synthetic.py with a fixed seed.
# Resembles GnRH portal sampling in sampling rate, baseline and pulse amplitude only.
time,value,error
1,0.347,0.024
2,0.354,0.025
3,0.349,0.024
4,12.564,0.879
5,6.660,0.466
6,3.786,0.265
7,2.308,0.162
8,8.775,0.614
9,4.968,0.348
10,2.759,0.193
11,1.537,0.108
12,0.915,0.064
13,0.660,0.046
14,0.582,0.041
15,0.415,0.029
16,5.193,0.364
17,3.019,0.211
18,1.632,0.114
19,1.150,0.081
20,0.677,0.047
21,0.553,0.039
22,0.456,0.032
23,0.414,0.029
24,6.229,0.436
25,3.121,0.218
26,2.281,0.160
27,1.346,0.094
28,0.741,0.052
29,6.580,0.461
30,3.661,0.256
31,2.017,0.141
32,1.064,0.074
33,0.820,0.057
34,0.574,0.040
35,5.404,0.378
36,3.219,0.225
37,1.686,0.118
38,0.914,0.064
39,15.594,1.092
40,10.280,0.720
41,5.991,0.419
42,3.440,0.241
43,15.892,1.112
44,7.895,0.553
45,4.919,0.344
46,2.682,0.188
47,1.504,0.105
48,9.097,0.637
49,5.601,0.392
50,3.056,0.214
51,1.783,0.125
52,1.070,0.075
53,0.786,0.055
54,17.666,1.237
55,9.861,0.690
56,5.541,0.388
57,3.472,0.243
58,8.473,0.593
59,4.695,0.329
60,2.774,0.194
61,1.466,0.103
62,0.894,0.063
63,0.774,0.054
64,0.543,0.038
65,0.472,0.033
66,6.289,0.440
67,3.302,0.231
68,2.035,0.142
69,9.219,0.645
70,5.335,0.373
71,2.719,0.190
72,1.557,0.109
73,7.551,0.529
74,4.387,0.307
75,2.668,0.187
76,1.479,0.104
77,7.904,0.553
78,4.037,0.283
79,2.595,0.182
80,1.594,0.112
81,1.006,0.070
82,0.714,0.050
83,4.353,0.305
84,2.503,0.175
85,1.406,0.098
86,0.994,0.070
87,0.600,0.042
88,8.365,0.586
89,4.261,0.298
90,2.302,0.161
91,1.416,0.099
92,1.048,0.073
93,10.827,0.758
94,6.068,0.425
95,3.230,0.226
96,1.956,0.137
