# SIMULATED DATA - not real experimental measurements.
# Generated by tools/make_synthetic.py with a fixed seed. Matches no animal
# and no experiment; the scales are drawn from the literature cited in that
# script and in data/synthetic/README.md.
# Resembles portal GnRH at high pulse frequency, 6-min fractions (pg/min).
# Sampling interval: 6 min.
time,value,error
6,0.361,0.028
12,8.515,0.664
18,18.392,1.435
24,0.382,0.030
30,0.373,0.029
36,0.380,0.030
42,41.431,3.232
48,10.901,0.850
54,14.262,1.112
60,1.166,0.091
66,0.373,0.029
72,6.163,0.481
78,0.327,0.026
84,0.327,0.026
90,4.339,0.338
96,0.313,0.024
102,0.327,0.026
108,0.335,0.026
114,0.352,0.027
120,42.095,3.283
126,0.356,0.028
132,0.380,0.030
138,12.681,0.989
144,2.301,0.179
150,0.343,0.027
156,1.751,0.137
162,8.870,0.692
168,1.672,0.130
174,35.421,2.763
180,0.359,0.028
186,3.144,0.245
192,2.097,0.164
198,0.396,0.031
204,0.334,0.026
210,16.360,1.276
216,10.182,0.794
222,0.361,0.028
228,0.372,0.029
234,2.589,0.202
240,0.648,0.051
246,0.374,0.029
252,0.309,0.024
258,5.478,0.427
264,4.704,0.367
270,0.335,0.026
276,2.276,0.178
282,4.890,0.381
288,0.364,0.028
294,0.344,0.027
300,34.108,2.660
306,0.359,0.028
312,3.416,0.266
318,7.477,0.583
324,0.360,0.028
330,11.290,0.881
336,8.433,0.658
342,22.163,1.729
348,3.395,0.265
354,5.592,0.436
360,12.974,1.012
366,0.351,0.027
372,0.311,0.024
378,34.573,2.697
384,3.829,0.299
390,0.347,0.027
396,5.108,0.398
402,29.469,2.299
408,0.361,0.028
414,0.332,0.026
420,0.349,0.027
426,3.539,0.276
432,0.974,0.076
438,0.330,0.026
444,0.290,0.023
450,4.151,0.324
456,0.377,0.029
462,0.353,0.028
468,0.332,0.026
474,3.463,0.270
480,8.468,0.661
486,0.326,0.025
492,0.371,0.029
498,0.882,0.069
504,10.179,0.794
510,6.438,0.502
516,30.310,2.364
522,0.368,0.029
528,0.362,0.028
534,0.389,0.030
540,2.212,0.172
546,3.217,0.251
552,0.381,0.030
558,0.329,0.026
564,41.359,3.226
570,0.333,0.026
576,0.330,0.026
582,19.169,1.495
588,16.224,1.265
594,8.871,0.692
600,8.651,0.675
606,1.274,0.099
612,4.647,0.362
618,3.121,0.243
624,24.232,1.890
630,0.327,0.026
636,23.259,1.814
642,3.565,0.278
648,0.350,0.027
654,0.328,0.026
660,18.953,1.478
