# SIMULATED DATA - not real experimental measurements.
# Generated by tools/make_synthetic.py with a fixed seed. Matches no animal
# and no experiment; the scales are drawn from the literature cited in that
# script and in data/synthetic/README.md.
# Resembles a thyroid-intact anestrous ewe: same protocol, no GnRH pulses (pg/min).
# Sampling interval: 5 min.
time,value,error
5,0.151,0.012
10,0.157,0.012
15,0.174,0.014
20,0.150,0.012
25,0.139,0.011
30,0.163,0.013
35,0.152,0.012
40,0.135,0.011
45,0.156,0.012
50,0.160,0.013
55,0.157,0.012
60,0.146,0.011
65,0.156,0.012
70,0.157,0.012
75,0.138,0.011
80,0.164,0.013
85,0.178,0.014
90,0.145,0.011
95,0.163,0.013
100,0.145,0.011
105,0.188,0.015
110,0.158,0.012
115,0.170,0.013
120,0.153,0.012
125,0.163,0.013
130,0.171,0.013
135,0.155,0.012
140,0.145,0.011
145,0.148,0.012
150,0.167,0.013
155,0.163,0.013
160,0.153,0.012
165,0.144,0.011
170,0.175,0.014
175,0.158,0.012
180,0.157,0.012
185,0.157,0.012
190,0.189,0.015
195,0.153,0.012
200,0.155,0.012
205,0.140,0.011
210,0.147,0.011
215,0.181,0.014
220,0.154,0.012
225,0.169,0.013
230,0.148,0.012
235,0.151,0.012
240,0.159,0.012
245,0.146,0.011
250,0.190,0.015
255,0.170,0.013
260,0.173,0.013
265,0.175,0.014
270,0.153,0.012
275,0.176,0.014
280,0.157,0.012
285,0.168,0.013
290,0.161,0.013
295,0.157,0.012
300,0.148,0.012
305,0.145,0.011
310,0.156,0.012
315,0.167,0.013
320,0.147,0.011
325,0.164,0.013
330,0.152,0.012
335,0.146,0.011
340,0.168,0.013
345,0.170,0.013
350,0.136,0.011
355,0.173,0.013
360,0.173,0.013
