# SIMULATED DATA - not real experimental measurements.
# Generated by tools/make_synthetic.py with a fixed seed. Matches no animal
# and no experiment; the scales are drawn from the literature cited in that
# script and in data/synthetic/README.md.
# Resembles hypophyseal-portal GnRH sampled in 10-min fractions (pg/min).
# Sampling interval: 10 min.
time,value,error
10,0.310,0.024
20,0.300,0.023
30,0.321,0.025
40,4.038,0.315
50,1.796,0.140
60,0.284,0.022
70,0.306,0.024
80,1.921,0.150
90,0.289,0.023
100,0.261,0.020
110,0.315,0.025
120,0.261,0.020
130,0.309,0.024
140,0.311,0.024
150,1.792,0.140
160,3.424,0.267
170,0.320,0.025
180,0.284,0.022
190,0.310,0.024
200,0.292,0.023
210,0.347,0.027
220,0.287,0.022
230,2.840,0.221
240,0.307,0.024
250,0.266,0.021
260,0.289,0.023
270,0.295,0.023
280,1.566,0.122
290,0.292,0.023
300,0.343,0.027
310,0.346,0.027
320,0.330,0.026
330,0.300,0.023
340,16.501,1.287
350,0.350,0.027
360,0.343,0.027
370,0.317,0.025
380,8.681,0.677
390,0.328,0.026
400,0.319,0.025
410,0.303,0.024
420,9.018,0.703
430,0.269,0.021
440,0.266,0.021
450,0.271,0.021
460,25.881,2.019
470,0.306,0.024
480,0.284,0.022
490,0.295,0.023
500,0.334,0.026
510,0.273,0.021
520,4.423,0.345
530,0.797,0.062
540,0.347,0.027
550,0.292,0.023
560,4.562,0.356
570,0.319,0.025
580,0.285,0.022
590,0.316,0.025
600,0.306,0.024
610,0.312,0.024
620,0.305,0.024
630,1.555,0.121
640,4.472,0.349
650,0.283,0.022
660,0.638,0.050
670,4.141,0.323
680,0.270,0.021
690,0.291,0.023
700,6.108,0.476
710,4.747,0.370
720,0.275,0.021
730,0.598,0.047
740,1.525,0.119
750,0.285,0.022
760,0.332,0.026
770,0.298,0.023
780,0.283,0.022
790,0.276,0.022
800,5.390,0.420
810,0.298,0.023
820,0.306,0.024
830,0.370,0.029
840,0.323,0.025
850,8.594,0.670
860,0.275,0.021
870,0.291,0.023
880,0.284,0.022
890,0.286,0.022
900,3.523,0.275
910,0.304,0.024
920,0.274,0.021
930,0.353,0.028
940,1.261,0.098
950,0.699,0.055
960,0.309,0.024
