# SIMULATED DATA - not real experimental measurements.
# Generated by tools/make_synthetic.py with a fixed seed. Matches no animal
# and no experiment; the scales are drawn from the literature cited in that
# script and in data/synthetic/README.md.
# Resembles portal GnRH in a thyroidectomized ewe: 5-min fractions, 6 h (pg/min).
# Sampling interval: 5 min.
time,value,error
5,0.239,0.019
10,0.221,0.017
15,0.205,0.016
20,0.217,0.017
25,0.968,0.076
30,0.956,0.075
35,0.242,0.019
40,0.221,0.017
45,0.223,0.017
50,1.425,0.111
55,0.529,0.041
60,0.226,0.018
65,0.235,0.018
70,0.241,0.019
75,0.218,0.017
80,0.204,0.016
85,0.209,0.016
90,0.204,0.016
95,0.199,0.016
100,1.617,0.126
105,0.615,0.048
110,0.252,0.020
115,0.211,0.016
120,0.196,0.015
125,0.227,0.018
130,0.220,0.017
135,0.235,0.018
140,0.223,0.017
145,3.187,0.249
150,2.952,0.230
155,0.225,0.018
160,0.213,0.017
165,0.212,0.017
170,0.192,0.015
175,0.393,0.031
180,2.134,0.166
185,0.590,0.046
190,0.228,0.018
195,0.227,0.018
200,0.193,0.015
205,0.235,0.018
210,0.208,0.016
215,1.061,0.083
220,2.804,0.219
225,0.426,0.033
230,0.211,0.016
235,0.217,0.017
240,1.100,0.086
245,1.401,0.109
250,0.212,0.017
255,0.217,0.017
260,0.225,0.018
265,1.831,0.143
270,2.600,0.203
275,0.254,0.020
280,0.242,0.019
285,0.220,0.017
290,0.493,0.038
295,2.962,0.231
300,0.251,0.020
305,0.232,0.018
310,0.211,0.016
315,0.241,0.019
320,0.234,0.018
325,0.222,0.017
330,0.478,0.037
335,1.600,0.125
340,0.195,0.015
345,0.198,0.015
350,0.226,0.018
355,0.917,0.072
360,2.451,0.191
