# SIMULATED DATA - not real experimental measurements.
# Generated by tools/make_synthetic.py with a fixed seed. Matches no animal
# and no experiment; the scales are drawn from the literature cited in that
# script and in data/synthetic/README.md.
# Resembles the highest-frequency ewe in that study: 21 pulses in 6 h (pg/min).
# Sampling interval: 5 min.
time,value,error
5,0.172,0.013
10,0.551,0.043
15,2.121,0.165
20,0.496,0.039
25,0.184,0.014
30,0.195,0.015
35,1.607,0.125
40,0.361,0.028
45,0.746,0.058
50,0.493,0.038
55,0.191,0.015
60,1.985,0.155
65,0.915,0.071
70,0.180,0.014
75,0.847,0.066
80,1.395,0.109
85,0.200,0.016
90,0.186,0.014
95,0.188,0.015
100,0.914,0.071
105,0.711,0.055
110,0.197,0.015
115,0.606,0.047
120,0.578,0.045
125,0.166,0.013
130,0.211,0.016
135,0.786,0.061
140,0.629,0.049
145,0.515,0.040
150,0.721,0.056
155,0.204,0.016
160,0.936,0.073
165,0.382,0.030
170,0.180,0.014
175,0.181,0.014
180,1.599,0.125
185,1.318,0.103
190,0.192,0.015
195,0.207,0.016
200,1.263,0.099
205,0.192,0.015
210,0.196,0.015
215,0.163,0.013
220,1.391,0.108
225,0.618,0.048
230,0.163,0.013
235,1.059,0.083
240,2.417,0.189
245,0.168,0.013
250,0.168,0.013
255,1.565,0.122
260,0.553,0.043
265,0.369,0.029
270,1.051,0.082
275,0.260,0.020
280,0.720,0.056
285,0.451,0.035
290,1.583,0.124
295,2.272,0.177
300,0.330,0.026
305,1.484,0.116
310,0.414,0.032
315,0.192,0.015
320,1.142,0.089
325,0.705,0.055
330,0.185,0.014
335,0.168,0.013
340,2.029,0.158
345,0.604,0.047
350,0.172,0.013
355,0.166,0.013
360,0.621,0.048
