# SIMULATED DATA - not real experimental measurements.
# Generated by tools/make_synthetic.py with a fixed seed. Matches no animal
# and no experiment; the scales are drawn from the literature cited in that
# script and in data/synthetic/README.md.
# Resembles peripheral (jugular) LH sampled every 10 min (ng/ml).
# Sampling interval: 10 min.
time,value,error
10,3.905,0.273
20,3.571,0.250
30,4.206,0.294
40,4.048,0.283
50,3.991,0.279
60,7.114,0.498
70,6.179,0.433
80,5.256,0.368
90,5.864,0.410
100,5.062,0.354
110,5.028,0.352
120,4.096,0.287
130,4.603,0.322
140,4.338,0.304
150,8.113,0.568
160,7.656,0.536
170,6.218,0.435
180,5.706,0.399
190,5.302,0.371
200,5.494,0.385
210,10.205,0.714
220,9.799,0.686
230,6.949,0.486
240,7.042,0.493
250,5.965,0.418
260,5.691,0.398
270,12.537,0.878
280,7.489,0.524
290,7.929,0.555
300,7.410,0.519
310,6.512,0.456
320,5.792,0.405
330,4.953,0.347
340,5.258,0.368
350,8.319,0.582
360,7.443,0.521
370,7.106,0.497
380,6.560,0.459
390,5.384,0.377
400,5.481,0.384
410,5.367,0.376
420,4.621,0.323
430,5.317,0.372
440,4.472,0.313
450,4.596,0.322
460,10.315,0.722
470,9.181,0.643
480,7.674,0.537
490,7.061,0.494
500,6.001,0.420
510,6.001,0.420
520,4.808,0.337
530,7.998,0.560
540,6.598,0.462
550,5.476,0.383
560,4.791,0.335
570,5.336,0.373
580,5.050,0.353
590,4.511,0.316
600,4.452,0.312
610,4.439,0.311
620,4.312,0.302
630,5.725,0.401
640,6.038,0.423
650,4.710,0.330
660,5.004,0.350
670,8.101,0.567
680,6.955,0.487
690,5.979,0.419
700,5.583,0.391
710,5.401,0.378
720,4.973,0.348
730,4.244,0.297
