# SIMULATED DATA - not real experimental measurements.
# Generated by tools/make_synthetic.py with a fixed seed. Matches no animal
# and no experiment; the scales are drawn from the literature cited in that
# script and in data/synthetic/README.md.
# Resembles a 24-h peripheral LH time course, 10-min sampling (ng/ml).
# Sampling interval: 10 min.
time,value,error
10,4.743,0.356
20,4.732,0.355
30,3.734,0.280
40,4.534,0.340
50,4.722,0.354
60,4.046,0.303
70,7.622,0.572
80,8.296,0.622
90,6.502,0.488
100,6.377,0.478
110,5.927,0.445
120,5.792,0.434
130,5.311,0.398
140,4.428,0.332
150,5.134,0.385
160,4.286,0.321
170,4.558,0.342
180,4.442,0.333
190,5.643,0.423
200,4.321,0.324
210,4.443,0.333
220,3.396,0.255
230,5.059,0.379
240,4.065,0.305
250,4.550,0.341
260,3.899,0.292
270,4.449,0.334
280,4.345,0.326
290,4.672,0.350
300,4.237,0.318
310,4.056,0.304
320,3.935,0.295
330,4.235,0.318
340,4.513,0.338
350,9.950,0.746
360,9.407,0.706
370,9.708,0.728
380,6.073,0.455
390,7.631,0.572
400,5.817,0.436
410,5.574,0.418
420,5.549,0.416
430,5.377,0.403
440,5.044,0.378
450,5.446,0.408
460,4.669,0.350
470,4.775,0.358
480,4.905,0.368
490,4.619,0.346
500,10.245,0.768
510,8.787,0.659
520,8.091,0.607
530,7.400,0.555
540,6.772,0.508
550,5.951,0.446
560,5.564,0.417
570,5.712,0.428
580,4.724,0.354
590,4.967,0.373
600,5.456,0.409
610,5.039,0.378
620,4.821,0.362
630,3.978,0.298
640,4.608,0.346
650,4.550,0.341
660,4.484,0.336
670,4.745,0.356
680,4.491,0.337
690,4.710,0.353
700,4.932,0.370
710,4.833,0.362
720,4.663,0.350
730,4.599,0.345
740,4.867,0.365
750,4.299,0.322
760,4.791,0.359
770,4.296,0.322
780,4.829,0.362
790,7.221,0.542
800,6.363,0.477
810,5.863,0.440
820,5.760,0.432
830,5.372,0.403
840,5.357,0.402
850,4.642,0.348
860,5.052,0.379
870,5.002,0.375
880,5.014,0.376
890,4.310,0.323
900,4.505,0.338
910,4.429,0.332
920,4.389,0.329
930,4.645,0.348
940,4.372,0.328
950,4.807,0.361
960,4.377,0.328
970,4.483,0.336
980,4.820,0.361
990,5.004,0.375
1000,4.338,0.325
1010,5.480,0.411
1020,4.145,0.311
1030,3.910,0.293
1040,4.639,0.348
1050,5.097,0.382
1060,4.670,0.350
1070,9.522,0.714
1080,8.887,0.667
1090,7.082,0.531
1100,6.171,0.463
1110,5.780,0.433
1120,5.640,0.423
1130,4.737,0.355
1140,5.773,0.433
1150,5.125,0.384
1160,4.929,0.370
1170,4.722,0.354
1180,4.623,0.347
1190,4.670,0.350
1200,4.914,0.369
1210,4.943,0.371
1220,4.635,0.348
1230,11.093,0.832
1240,8.213,0.616
1250,9.097,0.682
1260,7.148,0.536
1270,6.960,0.522
1280,5.299,0.397
1290,5.638,0.423
1300,5.552,0.416
1310,5.394,0.405
1320,5.438,0.408
1330,4.765,0.357
1340,4.465,0.335
1350,5.234,0.393
1360,4.500,0.337
1370,4.526,0.339
1380,4.229,0.317
1390,4.830,0.362
1400,4.209,0.316
1410,4.672,0.350
1420,3.787,0.284
1430,9.577,0.718
1440,8.280,0.621
1450,7.410,0.556
